"track.id","artists","track.name","valence","energy","danceability","acousticness","liveness","tempo","speechiness","track.preview_url","avgX","avgY","adjX","adjY"
"1Ej96GIBCTvgH7tNX1r3qr","Sech, Darell","Otro Trago",0.62,0.7,0.747,0.136,0.11,176.036,0.341,"https://p.scdn.co/mp3-preview/c57342df8f5a3c2265eb6c22f6c75d7929b5b59b?cid=ff290308d4fa4cc9b7c929ee682ab061",-1.276344211,-2.123418423,-0.780504109,-1.622732431
"1c0hsvHLELX6y8qymnpLKL","Lunay, Daddy Yankee, Bad Bunny","Soltera - Remix",0.8,0.783,0.795,0.361,0.437,92.016,0.0432,"https://p.scdn.co/mp3-preview/dd6fc3e183f2643f0f4a3d650fa4f923c2a46040?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.324302557,0.150503146,-0.058176533,0.192481757
"6fTt0CH2t0mdeB2N9XFG5r","Lil Nas X","Panini",0.475,0.594,0.703,0.342,0.123,153.848,0.0752,"https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.374575717,-1.275783934,-0.778771108,-0.325107124
"6XHVuErjQ4XNm6nDPVCxVX","Chris Brown, Drake","No Guidance (feat. Drake)",0.137,0.454,0.698,0.123,0.155,92.932,0.151,"https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.204597304,-1.177662619,-0.058702188,0.303186452
"70eFcWOvlMObDhURTqT4Fv","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)",0.548,0.648,0.64,0.124,0.0802,92.977,0.187,"https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=ff290308d4fa4cc9b7c929ee682ab061",1.845878616,-1.191538117,1.479651839,-0.443580575
"7DcvwMAiqKJQD1rrdfxSDx","Young Thug, J. Cole, Travis Scott","The London (feat. J. Cole & Travis Scott)",0.179,0.586,0.796,0.0247,0.132,97.981,0.147,"https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=ff290308d4fa4cc9b7c929ee682ab061",0.322847521,-0.311423486,0.694878022,0.171465871
"2qG5sZ7Si6sdK74qLxedYM","ROSALÍA, J Balvin, El Guincho","Con Altura",0.746,0.689,0.882,0.39,0.0501,97.963,0.124,"https://p.scdn.co/mp3-preview/db95e1fba1c9df7e2f6966ba91347df3c36a9630?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.066107371,-1.977871319,-0.336220722,-0.521529628
"5iwz1NiezX7WWjnCgY5TH4","Pedro Capó, Farruko","Calma - Remix",0.761,0.773,0.826,0.323,0.143,126.899,0.0524,"https://p.scdn.co/mp3-preview/acf9b4cf204f350851f699c3a3a360d413056f0b?cid=ff290308d4fa4cc9b7c929ee682ab061",0.166696044,-1.124240214,-0.10831608,0.108457215
"51Fjme0JiitpyXKuyQiCDo","Y2K, bbno$","Lalala",0.496,0.391,0.843,0.181,0.137,129.972,0.0845,"https://p.scdn.co/mp3-preview/3fa108534da58a2782b9c60b1c3a2d0aa18fb451?cid=ff290308d4fa4cc9b7c929ee682ab061",0.04204557,-0.85911609,-0.252250266,-0.058315442
"4a6q8CR2hzLk2plDkSxkfD","Bazzi","I.F.L.Y.",0.554,0.519,0.812,0.379,0.13,104.954,0.0385,"https://p.scdn.co/mp3-preview/3040c0b95911403ee50f4633c90af4c4e586d087?cid=ff290308d4fa4cc9b7c929ee682ab061",0.014318149,0.437670556,0.177982913,1.449030351
"6TqXcAFInzjp0bODyvrWEq","Khalid","Talk",0.346,0.4,0.901,0.051,0.0599,135.984,0.126,"https://p.scdn.co/mp3-preview/2fb54a9c23ec3124319df5739aa081bf9183fa8b?cid=ff290308d4fa4cc9b7c929ee682ab061",0.59273586,0.345610994,0.591207171,0.623262811
"7KbF6AdprOXEEHlsq11Z6d","Maluma","11:00 PM",0.68,0.712,0.777,0.217,0.091,95.692,0.277,"https://p.scdn.co/mp3-preview/2993254fae01c3abd401c55d9d30937a8b130c9e?cid=ff290308d4fa4cc9b7c929ee682ab061",0.02009004,-0.981799917,-0.333345948,-0.590492626
"5qmq61DAAOUaW8AUo8xKhh","Lizzo","Truth Hurts",0.412,0.624,0.715,0.11,0.123,158.087,0.114,"https://p.scdn.co/mp3-preview/c8bdc870ffc6044c84f0d52306a35551fb3d0263?cid=ff290308d4fa4cc9b7c929ee682ab061",0.327529306,-1.86099725,0.295232602,-0.859884511
"4bTZeO72FwMa6wKOiqoynL","Sech, Ozuna, Anuel AA, Darell, Nicky Jam","Otro Trago - Remix",0.763,0.79,0.725,0.0711,0.0602,175.988,0.197,"https://p.scdn.co/mp3-preview/0fa4dbb8b2547fd7f9b7e54dd42e37b78af1edd4?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.095066324,-0.101789838,0.328655986,0.455580922
"2TH65lNHgvLxCKXM3apjxI","Bad Bunny, Tainy","Callaita",0.244,0.624,0.61,0.6,0.243,176.169,0.309,"https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=ff290308d4fa4cc9b7c929ee682ab061",0.484200907,-0.795265987,0.109682024,-0.124069612
"0hVXuCcriWRGvwMV1r5Yn9","Ed Sheeran, Justin Bieber","I Don't Care (with Justin Bieber)",0.842,0.675,0.798,0.0912,0.0894,101.956,0.0442,"https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.772151351,0.106242455,-0.780398074,0.793107193
"6wo37KVqFJhtuxPTpLCcfe","The Chainsmokers, ILLENIUM, Lennon Stella","Takeaway",0.357,0.505,0.294,0.12,0.0977,85.332,0.042,"https://p.scdn.co/mp3-preview/d6acd39ff853fe8d1fd60603143c60eda0f7f672?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.172236353,-1.199182321,-0.323668595,-0.555878431
"6oJ6le65B3SEqPwMRNXWjY","Kygo, Whitney Houston","Higher Love",0.404,0.678,0.693,0.0154,0.101,103.952,0.0324,"https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.103179894,-0.02976023,0.170776418,0.529876448
"5N1o6d8zGcSZSeMFkOUQOk","Megan Thee Stallion, Nicki Minaj, Ty Dolla $ign","Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)",0.57,0.814,0.872,0.00485,0.214,98.985,0.155,"https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=ff290308d4fa4cc9b7c929ee682ab061",-0.693349276,-0.384674719,-0.941077357,-0.123506561
"40OMBMYRk5IQL6xCzGM0JA","Martin Garrix, Macklemore, Fall Out Boy","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",0.316,0.723,0.661,0.179,0.14,113.778,0.0566,"https://p.scdn.co/mp3-preview/2c529a40d846a04151fed237da99736e1a372e1c?cid=ff290308d4fa4cc9b7c929ee682ab061",0.232153059,-0.90061281,0.282588482,-0.407224871
